"tic","invest"
"3ACLZ",1095.53
"3SPKMF",1094.98
"3TDCB",1089.02
"AAC",1082.99
"ABCAF",1094.32
"ABCD",1097.7
"ACAZF",1110.7
"ACBI",1084.82
"ACC",1062.74
"ACCO",1079.36
"ACHN",1102.95
"ACKRF",1094.87
"ACWRF",1094.37
"ADXS",1093.33
"AER",1120.1
"AERO",1101.55
"AETI",1092.5
"AFSI",1103.9
"AGSVF",1095.7
"AGXXF",1107.99
"AHC",1104.02
"AHGP",1082.72
"AIDEF",1093.81
"AIERF",1095
"AIMC",1085.09
"AIRI",1101.15
"ALB.",1080.34
"ALGT",1031.69
"ALLT",1097.69
"ALO",1095.04
"ALSN",1078.17
"ALXXF",1095.48
"AMC",1099.83
"AMCN",1104.01
"AMDA",1094.88
"AMP",1110.43
"AMSF",1040.09
"AMTX",1088.96
"ANCKF",1093.72
"ANCX",1101.17
"ANW",1117.27
"AOCIF",1076.07
"AOREF",-829.23
"APEI",1025.6
"APLP",1085.88
"APTOF",1094.69
"AQARF",1095.01
"ARAY",1104.25
"ARC",1093.39
"ARCC",1098.02
"AREX",1095.92
"ARFXF",1094.39
"ARII",1093.66
"ARMZF",1094.89
"ARNGF",1089.19
"ASGTF",1107.86
"ASPU",1094.59
"ASTI",1094.8
"AT",1094.5
"ATAI",1095.22
"ATCMF",1093.57
"ATEC",1139.22
"ATHN",1081.44
"ATHX",1096.09
"ATLS",1099.82
"ATRC",1101.1
"ATU.",1094.56
"ATURF",1094.74
"ATV",1113.09
"AVAV",1086.34
"AVBH",1089.77
"AVCVF",1095.18
"AVLIF",1096.1
"AVNW",1064.6
"AVOI",1094.96
"AVXL",1080.44
"AWI",1129.74
"AWK",999.35
"AXU",1093.55
"AYR",1101.13
"AYTU",1110.22
"AZURF",1094.99
"BAOGF",1093.62
"BBEPQ",1096.28
"BBG",1087.69
"BBW",1073.95
"BCML",1088.9
"BCOM",1116.56
"BCUFF",1094.75
"BDCO",1091.93
"BDIMF",1086.83
"BEAT",1076.55
"BECN",1052.96
"BFIN",1090.98
"BGI",1100.95
"BGRP",1092.27
"BIDU",1262.34
"BIEI",1094.88
"BIL",1089.3
"BIOAF",1096.32
"BIP",1042.96
"BKCC",1104.33
"BKD",1112.06
"BKEP",1094.28
"BKUCF",1096.31
"BLDR",1095.65
"BLIN",1093.41
"BLKLF",1092.93
"BLMN",1085.27
"BLONF",1095.38
"BLSP",1094.96
"BNCL",1096.26
"BNRJF",1092.99
"BOFI",1109.61
"BPTH",1094.91
"BR",1077.76
"BRFH",1095.11
"BRPHF",1094.99
"BRPIF",1071.21
"BSPK",1095.14
"BTBIF",1095.81
"BTG",1092.57
"BTHE",1095.64
"BURG",1096.98
"BVLDF",1094.77
"BVPFF",1093.97
"BWEN",1091.47
"BWP",1081.61
"BX",1104.85
"BXC",1080.35
"BYSWF",1095.12
"CADC",1095.22
"CAGDF",1088.07
"CAI",1103.67
"CALI",1095.92
"CARE",1098.44
"CART",1094.32
"CAVM",1231.38
"CBBT",1092.27
"CBGDF",1094.31
"CBLI",1088.77
"CBMG",1129.09
"CBPO",1209.73
"CCCL",1093.88
"CCNI",1094.83
"CCO",1089.03
"CCORF",1090.23
"CDXC",1079.93
"CE",1065.64
"CEI",1092.73
"CEL",1098.24
"CELH",1092.83
"CEQP",1056.94
"CEQXF",1094.6
"CERGF",1091.8
"CESDF",1090.17
"CETY",1095.08
"CF",1104.07
"CFPUF",1099.69
"CFST",1090.95
"CGFEF",1094.69
"CGIX",1097.76
"CGJTF",1095.64
"CGLD",1113.47
"CHCI",1095.14
"CHHE",1095.33
"CHRRF",1094.64
"CILS",1094.81
"CIM",1084.09
"CLIR",1099.54
"CLMT",1118.61
"CLNE",1099.45
"CLRI",1094.93
"CLUB",1097.7
"CMF",1075.53
"CMG",1456.76
"CMPR",1127.2
"CNDPF",1094.94
"CNIT",1094.68
"CNK",1094.34
"CNSL",1075.84
"CNSWF",1429.17
"CNTF",1109.63
"CODI",1091.21
"COHN",1095.76
"COLFF",1093.37
"CORE",1159.51
"CORR",1050.21
"COTE",1094.99
"COTQF",1094.96
"CPA",1263.71
"CPAH",1095.67
"CPFXF",1094.94
"CPIX",1095.16
"CPLA",1045.98
"CPLP",1096.4
"CPMNF",1094.45
"CPPMF",1094.01
"CPRX",1097.97
"CPS",1119.7
"CQP",1085.45
"CRECF",1093.5
"CRFQF",1094.72
"CROJF",1094.82
"CROMF",1086.24
"CROX",1080.05
"CRSWF",1092.84
"CSII",1081.88
"CSIQ",1106.33
"CSTE",1118.17
"CTRN",1091.31
"CTSO",1100.63
"CTT",1087.46
"CTUMF",1094.97
"CTXXF",1094.89
"CUBE",1087.98
"CUBI",1064.53
"CUII",1119.97
"CUNB",1060
"CUR",1096.79
"CURN",1078.38
"CVALF",1097.78
"CVAT",1094.93
"CVI",1100.98
