"tic","invest"
"3AMFC",7446.25
"7687B",7432.78
"AAT",0
"AAV",0
"ABAC",0
"ABB",0
"ABBB",0
"ABEO",7575.15
"ABEV",0
"ABIO",0
"ACFC",0
"ACGL",7459.84
"ACHC",0
"ACN",0
"ACRE",0
"ACRX",0
"ACTA",0
"ADAT",0
"ADC.UN",0
"ADFJF",0
"ADMP",0
"ADP",0
"ADS",8138.91
"ADUS",0
"AEHR",0
"AEIS",7478.73
"AFCB",0
"AFG",7158.55
"AFH",0
"AGNC",0
"AGRO",0
"AHY.UN",0
"AINC",7324.18
"AINV",0
"AIOCF",0
"AIXN",0
"AL",0
"ALARF",0
"ALCO",7292.11
"ALE",7018.26
"ALEX",0
"ALLE",0
"ALNY",0
"ALSMY",0
"ALX",0
"AMCX",0
"AMID",0
"AMOT",7180.18
"AMRC",0
"AMZKF",0
"ANCB",0
"ANDX",0
"ANGI.1",0
"ANGO",0
"ANIK",0
"AOSL",0
"APO",0
"APTS",0
"APU",0
"ARCO",0
"ARCW",0
"ARDX",0
"ARGS",0
"ARI",0
"ARMK",0
"ARR",0
"ARRS",0
"ARRY",0
"ASBB",0
"ASCMA",0
"ASFI",0
"ASH",0
"ASMB",0
"ASPN",0
"ASPS",0
"ASR",6820.32
"ASX",0
"ATBYF",0
"ATGE",7450.25
"ATGFF",0
"ATHOF",0
"ATU",0
"ATVI",0
"AUG",0
"AUO",0
"AVAL",0
"AVGO",0
"AVH",0
"AVP",0
"AVX",0
"AXAHY",7524.04
"AXGN",0
"AXP",7369.22
"AXSM",0
"AXTI",7501.79
"AY",7438.44
"AZSEY",7498.89
"BAH",0
"BAK",0
"BBGI",7481.12
"BBRG",0
"BC",7496.56
"BCH",0
"BCOV",0
"BEL",0
"BERY",0
"BESIY",7630.78
"BFR",7451.31
"BGC",0
"BGS",0
"BHB",0
"BIBLF",0
"BIOA",0
"BIOYF",0
"BITA",0
"BKI",0
"BKJ",0
"BKU",0
"BKYI",0
"BLCM",0
"BLKB",0
"BLMT",0
"BMA",0
"BMNM",0
"BOJA",0
"BPI",0
"BRCD",7394.62
"BREW",0
"BRFS",0
"BRSS",0
"BSBR",0
"BSC.",0
"BSFT",0
"BSMX",0
"BSPM",0
"BSX",7377.58
"BUD",0
"BV",0
"BVN",0
"BVSN",0
"BVXV",0
"BWA",7736.47
"BWLD",0
"BWXT",0
"BYDDY",0
"CAB",0
"CABO",6422.71
"CACI",0
"CAE",7511.13
"CAG",0
"CALL",0
"CALX",0
"CANF",0
"CAR",0
"CARB",0
"CATB",0
"CATM",0
"CBF",0
"CBFV",0
"CBG",0
"CBKM",7419.44
"CBMX",7485.5
"CBOE",0
"CBZ",7435.18
"CCC",0
"CCGN",0
"CCHGY",0
"CCI.UN",0
"CCIH",0
"CCJ",0
"CCLP",0
"CCM",0
"CCXI",0
"CDNA",0
"CDTI",0
"CDXS",0
"CECO",0
"CEMP",0
"CENTA",0
"CEVA",7542.13
"CFPZF",7601.42
"CFX",0
"CFXTF",0
"CG",0
"CGEAF",7141.71
"CGOOF",0
"CHA",0
"CHBH",0
"CHE",7171.76
"CHEF",0
"CHMG",7257.55
"CHRS",0
"CHSP",0
"CHT",0
"CHUY",0
"CI",7596.68
"CIBY",0
"CIFAF",0
"CIG",0
"CINRF",0
"CIO",0
"CIQ.UN",0
"CIVI",0
"CIX",0
"CLAR",0
"CLB",0
"CLBS",0
"CLD",0
"CLDB",0
"CLDT",0
