"gvkey","tic","conm","prccq"
1004,"AIR","AAR CORP",34.94
1045,"AAL","AMERICAN AIRLINES GROUP INC",50.32
1050,"CECE","CECO ENVIRONMENTAL CORP",9.18
1062,"ASA","ASA GOLD AND PRECIOUS METALS",11.88
1072,"AVX","AVX CORP",16.34
1075,"PNW","PINNACLE WEST CAPITAL CORP",85.16
1076,"AAN","AARON'S INC",38.9
1078,"ABT","ABBOTT LABORATORIES",48.61
1094,"ACET","ACETO CORP",15.45
1096,"MRCBF","MORGUARD CORP",184.75
1097,"ACMTA","ACMAT CORP  -CL A",20.25
1104,"ACU","ACME UNITED CORP",28.6
1117,"RWC","RELM WIRELESS CORP",3.75
1121,"AE","ADAMS RESOURCES & ENERGY INC",41.08
1161,"AMD","ADVANCED MICRO DEVICES",12.48
1166,"ASMIY","ASM INTERNATIONAL NV",38
1177,"AET","AETNA INC",151.83
1186,"AEM","AGNICO EAGLE MINES LTD",45.12
1209,"APD","AIR PRODUCTS & CHEMICALS INC",143.06
1210,"AIRT","AIR T INC",21.2
1230,"ALK","ALASKA AIR GROUP INC",89.76
1234,"ATRI","ATRION CORP",643.3
1254,"MATX","MATSON INC",30.04
1257,"ALX","ALEXANDER'S INC",421.46
1262,"AGMJF","ALGOMA CENTRAL CORP",12.96
1266,"ALCO","ALICO INC",31.3
1300,"HON","HONEYWELL INTERNATIONAL INC",133.29
1380,"HES","HESS CORP",43.87
1410,"ABM","ABM INDUSTRIES INC",43.19
1414,"PRI","PRIMERICA INC",75.75
1439,"ECOL","US ECOLOGY INC",50.5
1440,"AEP","AMERICAN ELECTRIC POWER CO",69.47
1447,"AXP","AMERICAN EXPRESS CO",84.24
1449,"AFL","AFLAC INC",77.68
1487,"AIG","AMERICAN INTERNATIONAL GROUP",62.52
1526,"ANAT","AMERICAN NATIONAL INSURANCE",116.49
1545,"ARL","AMERICAN REALTY INVESTORS",8.5243
1559,"AMS","AMERICAN SHARED HSPTL SERV",3.9
1562,"AMSWA","AMERICAN SOFTWARE  -CL A",10.97
1585,"AVD","AMERICAN VANGUARD CORP",17.25
1598,"AME","AMETEK INC",60.57
1602,"AMGN","AMGEN INC",172.23
1613,"AP","AMPCO-PITTSBURGH CORP",14.75
1618,"AXR","AMREP CORP",6.01
1632,"ADI","ANALOG DEVICES",76.2
1633,"ALOG","ANALOGIC CORP",71.85
1659,"ANDE","ANDERSONS INC",34.15
1661,"NBR","NABORS INDUSTRIES LTD",8.14
1678,"APA","APACHE CORP",47.93
1686,"APOG","APOGEE ENTERPRISES INC",53.28
1690,"AAPL","APPLE INC",144.02
1704,"AMAT","APPLIED MATERIALS INC",40.61
1706,"ATU","ACTUANT CORP  -CL A",25.95
1722,"ADM","ARCHER-DANIELS-MIDLAND CO",41.38
1743,"ARCB","ARCBEST CORP",20.6
1773,"ARW","ARROW ELECTRONICS INC",78.42
