"gvkey","tic","conm","prccq"
1072,"AVX","AVX CORP",16.34
1257,"ALX","ALEXANDER'S INC",421.46
1266,"ALCO","ALICO INC",31.3
1414,"PRI","PRIMERICA INC",75.75
1447,"AXP","AMERICAN EXPRESS CO",84.24
1706,"ATU","ACTUANT CORP  -CL A",25.95
1712,"TREC","TRECORA RESOURCES",11.25
1794,"ASH","ASHLAND GLOBAL HOLDINGS INC",65.91
1891,"ADP","AUTOMATIC DATA PROCESSING",102.46
1920,"AVP","AVON PRODUCTS",3.8
2337,"RFP","RESOLUTE FOREST PRODUCTS INC",4.4
2444,"BC","BRUNSWICK CORP",62.73
2526,"CAE","CAE INC",22.36
2547,"CI","CIGNA CORP",167.39
2596,"CACI","CACI INTL INC  -CL A",125.05
2960,"CHE","CHEMED CORP",204.53
3107,"CLF","CLEVELAND-CLIFFS INC",6.92
3278,"CAR","AVIS BUDGET GROUP INC",27.27
3362,"CAG","CONAGRA BRANDS INC",38.54
3622,"CRWS","CROWN CRAFTS INC",6.95
3734,"DAN","DANA INC",22.33
3905,"ATGE","ADTALEM GLOBAL EDUCATION INC",37.95
3908,"DEWY","DEWEY ELECTRONICS CORP",1.5
4029,"D","DOMINION ENERGY INC",76.63
4091,"DCO","DUCOMMUN INC",31.58
4632,"CLBS","CALADRIUS BIOSCIENCES INC",4.65
4669,"FINGF","FINNING INTERNATIONAL INC",25.42
4737,"FHN","FIRST HORIZON NATIONAL CORP",17.42
5116,"GNTX","GENTEX CORP",18.97
5149,"GTY","GETTY REALTY CORP",25.1
5179,"GLT","GLATFELTER",19.54
5299,"JFTSF","JFT STRATEGIES FUND",14.44
5520,"AMOT","ALLIED MOTION TECHNOLOGIES",27.22
5530,"HWKN","HAWKINS INC",46.35
5667,"HFC","HOLLYFRONTIER CORP",27.47
5783,"JBHT","HUNT (JB) TRANSPRT SVCS INC",91.38
5862,"RYN","RAYONIER INC",28.77
6104,"IP","INTL PAPER CO",56.61
6216,"JEC","JACOBS ENGINEERING GROUP INC",54.39
6461,"KEX","KIRBY CORP",66.85
6528,"LXU","LSB INDUSTRIES INC",10.33
6543,"LZB","LA-Z-BOY INC",27.9
7260,"MDP","MEREDITH CORP",59.45
7437,"ALE","ALLETE INC",71.68
7682,"NANO","NANOMETRICS INC",25.29
7685,"NSSC","NAPCO SECURITY TECH INC",9.4
7875,"NWL","NEWELL BRANDS INC",53.62
7921,"NDSN","NORDSON CORP",125.2
7922,"JWN","NORDSTROM INC",48.27
7982,"NTRS","NORTHERN TRUST CORP",97.21
8079,"OII","OCEANEERING INTERNATIONAL",22.84
8099,"FE","FIRSTENERGY CORP",29.16
8214,"OC","OWENS CORNING",66.92
8358,"PH","PARKER-HANNIFIN CORP",159.82
8431,"AFG","AMERICAN FINANCIAL GROUP INC",99.37
8543,"MO","ALTRIA GROUP INC",74.47
8605,"PJC","PIPER JAFFRAY COS",59.95
8611,"PW","POWER REIT",7.54
8901,"RES","RPC INC",20.21
9346,"SBR","SABINE ROYALTY TRUST",38.75
9393,"SJT","SAN JUAN BASIN ROYALTY TR",6.81
9490,"SCND","SCIENTIFIC INDUSTRIES INC",3.2
9590,"IIN","INTRICON CORP",8.175
9890,"SWX","SOUTHWEST GAS HOLDINGS INC",73.06
9919,"SPAR","SPARTAN MOTORS INC",8.85
10305,"TSRI","TSR INC",7.35
10567,"SIX","SIX FLAGS ENTERTAINMENT CORP",59.61
10631,"TSS","TOTAL SYSTEM SERVICES INC",58.25
10840,"UNF","UNIFIRST CORP",141.7
10999,"UTL","UNITIL CORP",48.31
11017,"UVV","UNIVERSAL CORP/VA",64.7
11051,"UTMD","UTAH MEDICAL PRODUCTS INC",72.4
11065,"VSEC","VSE CORP",44.98
11302,"WSCI","WSI INDUSTRIES INC",3.15
11456,"WY","WEYERHAEUSER CO",33.5
11537,"WGO","WINNEBAGO INDUSTRIES",24.5
11756,"ALEX","ALEXANDER & BALDWIN INC",41.38
12081,"LAND","GLADSTONE LAND CORP",11.67
12140,"NNN","NATIONAL RETAIL PROPERTIES",39.1
12215,"CY","CYPRESS SEMICONDUCTOR CORP",13.65
12395,"TOL","TOLL BROTHERS INC",35.99
12616,"WACLY","WACOAL HOLDINGS CORP",67.595
12713,"ABEO","ABEONA THERAPEUTICS INC",6.4
12825,"JJSF","J & J SNACK FOODS CORP",132.07
12840,"HTLD","HEARTLAND EXPRESS INC",20.82
13341,"PGR","PROGRESSIVE CORP-OHIO",44.09
13406,"CCC","CALGON CARBON CORP",15.1
13453,"OPY","OPPENHEIMER HOLDINGS INC",16.4
13623,"CNMD","CONMED CORP",50.94
13679,"ARCW","ARC GROUP WORLDWIDE INC",2.819
14042,"CFPZF","CANFOR CORP",19.59
14352,"SNCAF","SNC-LAVALIN GROUP INC",56.07
14394,"WCM.A","WILMINGTON CAP MGMT  -CL A",3.25
14802,"NABZY","NATIONAL AUSTRALIA BK",11.349
14822,"WRB","BERKLEY (W R) CORP",69.17
14924,"NTP","NAM TAI PROPERTY INC",8
15044,"WDAY","WORKDAY INC",87.4
15101,"MFA","MFA FINANCIAL INC",8.39
15142,"STAR","ISTAR INC",12.04
15247,"VLO","VALERO ENERGY CORP",67.46
15634,"RBS","ROYAL BANK OF SCOTLAND GROUP",6.53
15724,"AZSEY","ALLIANZ SE",19.663
15743,"DBSDY","DBS GROUP HOLDINGS LTD",60.254
15782,"PUK","PRUDENTIAL PLC",46.01
15784,"SCGLY","SOCIETE GENERALE GROUP",10.746
15929,"LYG","LLOYDS BANKING GROUP PLC",3.53
16015,"QRHC","QUEST RESOURCE HOLDING CORP",2.42
16150,"SCM","STELLUS CAPITAL INVESTMENT",13.71
16426,"ELFIF","E-L FINANCIAL CORP LTD",845
16710,"DGII","DIGI INTERNATIONAL INC",10.15
16714,"DGICA","DONEGAL GROUP INC",15.9
16878,"RELYQ","REAL INDUSTRY INC",2.9
16909,"SLTTF","SLATE OFFICE REIT",8
17131,"IHC","INDEPENDENCE HOLDING CO",20.45
17184,"SBCF","SEACOAST BANKING CORP/FL",24.1
17874,"TMUS","T-MOBILE US INC",60.62
17877,"CHMG","CHEMUNG FINANCIAL CORP",40.88
17878,"NRZ","NEW RESIDENTIAL INV CP",15.56
17897,"QIWI","QIWI PLC",24.68
17912,"SFR","STARWOOD WAYPOINT HOMES",34.31
18033,"DRUNF","DREAM UNLIMITED CORP",7.36
18066,"TLRA","TELARIA INC",2.49
18086,"MNK","MALLINCKRODT PLC",44.81
18110,"FFKT","FARMERS CAPITAL BANK CORP",38.55
18161,"CNAT","CONATUS PHARMACEUTICALS INC",5.76
18195,"FBAK","FIRST NATIONAL BANK ALASKA",1750
18247,"FNBG","FNB BANCORP CALIF",27.46
18264,"FVCB","FVCBANKCORP INC",19.7
18293,"NYLD.A","NRG YIELD INC",17.06
18430,"FPRX","FIVE PRIME THERAPEUTICS INC",30.11
18487,"FEYE","FIREEYE INC",15.21
18629,"LGIH","LGI HOMES INC",40.18
18636,"DEO","DIAGEO PLC",119.83
18654,"HDNG","HARDINGE INC",12.42
18695,"CBFV","CB FINANCIAL SERVICES INC",25.95
18699,"PTC","PTC INC",55.12
18729,"KNBWY","KIRIN HOLDINGS CO LTD",20.372
18750,"CRTO","CRITEO SA",49.05
18899,"TNDM","TANDEM DIABETES CARE INC",0.8
19023,"NACB","NATIONAL CAPITAL BANK/WA",185
19168,"TACO","DEL TACO RESTAURANTS INC",13.75
19349,"SIEGY","SIEMENS AG",68.633
19391,"MBUU","MALIBU BOATS INC",25.87
19425,"GNCA","GENOCEA BIOSCIENCES INC",5.22
19580,"TIME","TIME INC",14.35
19730,"PCTY","PAYLOCITY HOLDING CORP",45.18
19851,"CIO","CITY OFFICE REIT INC",12.7
19976,"AMZKF","AUTOMODULAR CORP",2.45
19988,"MDWD","MEDIWOUND LTD",6.8
20067,"IHG","INTERCONTINENTAL HOTELS GRP",55.53
20130,"AY","ATLANTICA YIELD PLC",21.36
20229,"ZEN","ZENDESK INC",27.78
20255,"BIBLF","BRICK BREWING CO LTD",3.57
20331,"JMEI","JUMEI INTL HOLDING LTD  -ADR",2.13
20344,"WPG","WASHINGTON PRIME GROUP INC",8.37
20517,"LMB","LIMBACH HOLDINGS INC",11.99
20645,"ARDX","ARDELYX INC",5.1
20860,"WIPKF","WINPAK LTD",58.22
20950,"VTTI","VTTI ENERGY PARTNRS LP",19.65
21145,"OTIC","OTONOMY INC",18.85
21238,"VICR","VICOR CORP",17.9
21423,"UNIB","UNIVERSITY BANCORP INC",7
21524,"PRQR","PROQR THERAPEUTICS NV",5.2
21577,"OGRMF","ORGANIGRAM HOLDINGS INC",2.44
21617,"DERM","DERMIRA INC",29.14
21815,"TBK","TRIUMPH BANCORP INC",24.55
21841,"CHRS","COHERUS BIOSCIENCES INC",14.35
22035,"CRBP","CORBUS PHARMACEUTICALS HLDGS",6.3
22119,"AINC","ASHFORD INC",50.98
22136,"MRDN","MERIDIAN WASTE SOLUTIONS INC",1.65
22144,"MICR","MICRON SOLUTIONS INC",3.9
22165,"ONDK","ON DECK CAPITAL INC",4.66
22207,"TBI","TRUEBLUE INC",26.5
22258,"BLCM","BELLICUM PHARMACEUTICALS INC",11.68
22260,"HCA","HCA HEALTHCARE INC",87.2
22338,"UTGN","UTG INC",21.75
22653,"VSTO","VISTA OUTDOOR INC",22.51
22672,"SHAK","SHAKE SHACK INC",34.88
22789,"SIAF","SINO AGRO FOOD INC",2.1
22815,"TRMB","TRIMBLE INC",35.67
23043,"STDY","STEADYMED LTD",6.3
23225,"CABO","CABLE ONE INC",710.9
23357,"QNBC","QNB CORP",40.33
23485,"CVA","COVANTA HOLDING CORP",13.2
23594,"BOJA","BOJANGLES' INC",16.25
23650,"SHOP","SHOPIFY INC",86.9
23844,"ICGL.1","IMAGE CHAIN GROUP LTD -OLD",5
23864,"EXTN","EXTERRAN CORP",26.7
23980,"CATB","CATABASIS PHARMACEUTICALS",1.41
24021,"HAE","HAEMONETICS CORP",39.49
24370,"CCJ","CAMECO CORP",11.81
24597,"GLBL","TERRAFORM GLOBAL INC",5.05
